idx,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
307,40,40,400,10,100,40,100,11.68504382,15.2,57.6,800,546.969781
308,10,10,700,10,100,40,100,14.46088013,4.6,57.6,2450,198.8631181
309,10,40,700,10,100,40,100,14.46088013,14.2,57.6,2450,795.4524722
310,40,10,700,10,100,40,100,14.46088013,8.8,57.6,2450,198.8631181
311,40,40,700,10,100,40,100,14.46088013,18.4,57.6,2450,795.4524722
312,10,10,1000,10,100,40,100,13.67985383,5.5,57.6,5000,213.0314123
313,10,40,1000,10,100,40,100,13.67985383,16.9,57.6,5000,852.125649
314,40,10,1000,10,100,40,100,13.67985383,10.6,57.6,5000,213.0314123
315,40,40,1000,10,100,40,100,13.67985383,22,57.6,5000,852.125649
316,10,10,1300,10,100,40,100,13.38160558,10.7,57.6,8450,216.5543974
317,10,40,1300,10,100,40,100,13.38160558,32,57.6,8450,866.2175896
318,40,10,1300,10,100,40,100,13.38160558,21.5,57.6,8450,216.5543974
319,40,40,1300,10,100,40,100,13.38160558,42.8,57.6,8450,866.2175896
320,10,10,400,70,10,40,100,10.87479334,3.7,57.6,800,143.8522259
321,10,40,400,70,10,40,100,10.87479334,11.5,57.6,800,575.4089035
322,40,10,400,70,10,40,100,10.87479334,7,57.6,800,143.8522259
323,40,40,400,70,10,40,100,10.87479334,14.8,57.6,800,575.4089035
324,10,10,700,70,10,40,100,13.0346531,4.4,57.6,2450,194.3389701
325,10,40,700,70,10,40,100,13.0346531,13.7,57.6,2450,777.3558802
326,40,10,700,70,10,40,100,13.0346531,8.3,57.6,2450,194.3389701
327,40,40,700,70,10,40,100,13.0346531,17.6,57.6,2450,777.3558802
328,10,10,1000,70,10,40,100,12.53625815,5.1,57.6,5000,206.9676419
329,10,40,1000,70,10,40,100,12.53625815,15.9,57.6,5000,827.8705676
330,40,10,1000,70,10,40,100,12.53625815,9.6,57.6,5000,206.9676419
331,40,40,1000,70,10,40,100,12.53625815,20.4,57.6,5000,827.8705676
332,10,10,1300,70,10,40,100,12.20671956,9.8,57.6,8450,210.3633242
333,10,40,1300,70,10,40,100,12.20671956,29.6,57.6,8450,841.4532968
334,40,10,1300,70,10,40,100,12.20671956,19.4,57.6,8450,210.3633242
335,40,40,1300,70,10,40,100,12.20671956,39.2,57.6,8450,841.4532968
336,10,10,400,70,40,10,100,10.02832666,3.8,55.44,800,132.4522154
337,10,40,400,70,40,10,100,10.02832666,11.9,55.44,800,529.8088617
