Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
10,40,700,40,40,10,100,12.10304818,16,48.96,2450,532.4529502
20,10,700,40,40,10,100,12.10304818,4,48.96,2450,133.1132375
20,20,700,40,40,10,100,12.10304818,7.2,48.96,2450,266.2264751
20,40,700,40,40,10,100,12.10304818,13.6,48.96,2450,532.4529502
40,10,700,40,40,10,100,12.10304818,4.8,48.96,2450,133.1132375
40,20,700,40,40,10,100,12.10304818,8,48.96,2450,266.2264751
40,40,700,40,40,10,100,12.10304818,14.4,48.96,2450,532.4529502
10,10,1000,40,40,10,100,11.46544109,8.3,48.96,5000,140.7210787
10,20,1000,40,40,10,100,11.46544109,15.7,48.96,5000,281.4421575
10,40,1000,40,40,10,100,11.46544109,5.5,48.96,5000,562.8843149
20,10,1000,40,40,10,100,11.46544109,9.2,48.96,5000,140.7210787
20,20,1000,40,40,10,100,11.46544109,16.6,48.96,5000,281.4421575
20,40,1000,40,40,10,100,11.46544109,7.3,48.96,5000,562.8843149
40,10,1000,40,40,10,100,11.46544109,11,48.96,5000,140.7210787
40,20,1000,40,40,10,100,11.46544109,18.4,48.96,5000,281.4421575
40,40,1000,40,40,10,100,11.46544109,4.6,48.96,5000,562.8843149
10,10,1300,40,40,10,100,10.95434816,29.8,48.96,8450,142.9519105
10,20,1300,40,40,10,100,10.95434816,14.1,48.96,8450,285.903821
10,40,1300,40,40,10,100,10.95434816,20.6,48.96,8450,571.8076421
20,10,1300,40,40,10,100,10.95434816,33.6,48.96,8450,142.9519105
20,20,1300,40,40,10,100,10.95434816,8.4,48.96,8450,285.903821
20,40,1300,40,40,10,100,10.95434816,14.9,48.96,8450,571.8076421
40,10,1300,40,40,10,100,10.95434816,27.9,48.96,8450,142.9519105
40,20,1300,40,40,10,100,10.95434816,10.3,48.96,8450,285.903821
40,40,1300,40,40,10,100,10.95434816,16.8,48.96,8450,571.8076421
10,10,400,10,10,100,100,13.04360378,3.9,57.6,800,153.618761
10,20,400,10,10,100,100,13.04360378,6.6,57.6,800,307.237522
10,40,400,10,10,100,100,13.04360378,12,57.6,800,614.4750441
20,10,400,10,10,100,100,13.04360378,5.1,57.6,800,153.618761
20,20,400,10,10,100,100,13.04360378,7.8,57.6,800,307.237522
20,40,400,10,10,100,100,13.04360378,13.2,57.6,800,614.4750441
40,10,400,10,10,100,100,13.04360378,7.5,57.6,800,153.618761
40,20,400,10,10,100,100,13.04360378,10.2,57.6,800,307.237522
40,40,400,10,10,100,100,13.04360378,15.6,57.6,800,614.4750441
10,10,700,10,10,100,100,14.52123919,9.4,57.6,2450,199.4295056
10,20,700,10,10,100,100,14.52123919,16,57.6,2450,398.8590112
10,40,700,10,10,100,100,14.52123919,8.9,57.6,2450,797.7180224
20,10,700,10,10,100,100,14.52123919,12.2,57.6,2450,199.4295056
