x0=0mm,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],k,L1[nH],L2[nH],Bleak [T],PrimaryWinding[m3],PrimaryWinding[cm3],PrimaryCore[m3],PrimaryCore[cm3],x0=100mm,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],k,L1[nH],L2[nH],Bleak[T],PrimaryWinding[m3],PrimaryWinding[cm3],PrimaryCore[m3],PrimaryCore[cm3],w[rad/s],kdiff[%],P_0mm[W],P_100mm[W],Pout[W],Bleak[uT]
43,29.03798866,25.32893753,1055.316528,62.19135284,64.45523071,44.51269531,404.6445923,0.300353268,34285.58362,30937.68398,1.76E-05,9.96E-05,9.96E+01,0.005568465,5568.464871,43,29.03798866,25.32893753,1055.316528,62.19135284,64.45523071,44.51269531,404.6445923,0.27586516,34620.52786,30911.19246,2.84E-05,9.96E-05,9.96E+01,0.005568465,5568.464871,534070.7511,8.153101763,3842.504034,3544.899082,3544.899082,283.52026929
20,29.16625595,32.48175812,906.9273071,26.23047066,69.79964447,19.50716019,462.9856873,0.294230447,36320.83128,30690.02817,1.60E-05,9.56E-05,9.56E+01,0.004112586,4112.585702,20,29.16625595,32.48175812,906.9273071,26.23047066,69.79964447,19.50716019,462.9856873,0.265288658,36716.74402,30659.29599,2.36E-05,9.56E-05,9.56E+01,0.004112586,4112.585702,534070.7511,9.836435821,4970.306252,4503.507153,4503.507153,235.88459186
56,29.72787476,34.30627441,1063.334229,61.26744461,76.02563477,18.23487282,501.1603394,0.272006979,40837.21583,30934.6681,2.29E-05,0.000109287,1.09E+02,0.005653398,5653.398413,56,29.72787476,34.30627441,1063.334229,61.26744461,76.02563477,18.23487282,501.1603394,0.254584815,41225.56746,30923.12789,3.73E-05,0.000109287,1.09E+02,0.005653398,5653.398413,534070.7511,6.405043271,5265.832669,4951.009261,4951.009261,372.83166476
36,29.90857697,32.3726387,1045.612183,71.1917038,64.52640533,41.47929764,363.4519348,0.308981736,31887.5148,30882.55823,1.73E-05,9.50E-05,9.50E+01,0.005466524,5466.524186,36,29.90857697,32.3726387,1045.612183,71.1917038,64.52640533,41.47929764,363.4519348,0.280624346,32239.59598,30857.7565,2.71E-05,9.50E-05,9.50E+01,0.005466524,5466.524186,534070.7511,9.177691217,5013.862549,4576.937267,4576.937267,271.14760619
5,30.11558914,32.99117279,1032.560059,57.9315567,47.0578804,33.92626953,276.6788635,0.31842419,24900.29886,30752.19271,1.26E-05,7.55E-05,7.55E+01,0.005330901,5330.901377,5,30.11558914,32.99117279,1032.560059,57.9315567,47.0578804,33.92626953,276.6788635,0.278010769,25170.04741,30747.6597,1.82E-05,7.55E-05,7.55E+01,0.005330901,5330.901377,534070.7511,12.691693,4675.56704,4103.90767,4103.90767,182.03204256
53,30.87693787,34.25799561,1063.180298,56.41342163,75.78887177,19.95446777,505.5466919,0.272151919,40858.04869,30945.55484,2.37E-05,0.000109208,1.09E+02,0.005651762,5651.76173,53,30.87693787,34.25799561,1063.180298,56.41342163,75.78887177,19.95446777,505.5466919,0.25496523,41243.98058,30916.8205,3.85E-05,0.000109208,1.09E+02,0.005651762,5651.76173,534070.7511,6.315108468,5466.940106,5143.43938,5143.43938,384.92664137
66,31.21410179,32.83496094,1052.097168,62.29798126,70.23306274,34.54097366,520.352417,0.258952295,41521.24843,30967.36102,2.61E-05,0.000114962,1.15E+02,0.005534542,5534.542255,66,31.21410179,32.83496094,1052.097168,62.29798126,70.23306274,34.54097366,520.352417,0.246157363,41863.30118,30950.63731,4.35E-05,0.000114962,1.15E+02,0.005534542,5534.542255,534070.7511,4.941038429,5082.685116,4850.097897,4850.097897,435.38774329
64,31.22912788,25.03248024,1048.541504,71.48576355,57.09844971,40.54972076,498.0921021,0.264800844,40605.43774,31002.36982,2.37E-05,0.000113147,1.13E+02,0.005497196,5497.196428,64,31.22912788,25.03248024,1048.541504,71.48576355,57.09844971,40.54972076,498.0921021,0.250824344,40939.8712,30992.18952,4.02E-05,0.000113147,1.13E+02,0.005497196,5497.196428,534070.7511,5.278117594,3922.57668,3730.195408,3730.195408,402.15723472
35,31.63012123,35.65164948,1062.496948,18.06788063,76.10218811,21.38183022,539.0426025,0.272343816,42743.93087,30898.99381,2.34E-05,0.000106102,1.06E+02,0.005644499,5644.498823,35,31.63012123,35.65164948,1062.496948,18.06788063,76.10218811,21.38183022,539.0426025,0.254433191,43156.39668,30876.94723,3.78E-05,0.000106102,1.06E+02,0.005644499,5644.498823,534070.7511,6.576475712,5960.822573,5593.618067,5593.618067,378.05468256
48,31.71705246,35.75580978,1063.613403,34.43955994,76.10133362,24.55830193,527.1453857,0.271130816,41679.00442,30918.90559,2.38E-05,0.000108611,1.09E+02,0.005656367,5656.367355,48,31.71705246,35.75580978,1063.613403,34.43955994,76.10133362,24.55830193,527.1453857,0.254525178,42062.62059,30908.76498,3.88E-05,0.000108611,1.09E+02,0.005656367,5656.367355,534070.7511,6.124585194,5895.054696,5558.504642,5558.504642,387.98804278
6,32.15301514,35.76738739,1063.669067,67.05643463,76.10449219,68.89353943,129.9510498,0.30095882,18168.26634,30777.31012,1.33E-05,6.80E-05,6.80E+01,0.005656959,5656.95942,6,32.15301514,35.76738739,1063.669067,67.05643463,76.10449219,68.89353943,129.9510498,0.268641445,18339.03112,30777.72917,1.92E-05,6.80E-05,6.80E+01,0.005656959,5656.95942,534070.7511,10.73813863,4371.061001,3920.010342,3920.010342,192.10451595
7,32.16560745,31.7008667,983.9203491,57.03041077,59.80516052,31.90145302,268.0482178,0.315927632,24171.42025,30733.4887,1.26E-05,7.54E-05,7.54E+01,0.004840496,4840.496267,7,32.16560745,31.7008667,983.9203491,57.03041077,59.80516052,31.90145302,268.0482178,0.277067994,24413.64521,30723.06939,1.78E-05,7.54E-05,7.54E+01,0.004840496,4840.496267,534070.7511,12.30017054,4689.281611,4132.345864,4132.345864,177.57985632
57,32.25413513,30.84321976,1019.003601,59.26160812,62.56999207,59.06038666,457.0878906,0.274532076,37586.23434,30937.73621,2.36E-05,0.000109388,1.09E+02,0.005191842,5191.841694,57,32.25413513,30.84321976,1019.003601,59.26160812,62.56999207,59.06038666,457.0878906,0.257971116,37943.54508,30933.42157,3.76E-05,0.000109388,1.09E+02,0.005191842,5191.841694,534070.7511,6.032431708,4973.884235,4695.673796,4695.673796,376.28219152
89,32.48204803,35.16292572,1063.674072,74.60064697,75.18782806,26.27959824,539.2475586,0.246663851,43172.90197,30998.71542,2.97E-05,0.000119269,1.19E+02,0.005657013,5657.012657,89,32.48204803,35.16292572,1063.674072,74.60064697,75.18782806,26.27959824,539.2475586,0.23636412,43477.75574,30988.84287,5.06E-05,0.000119269,1.19E+02,0.005657013,5657.012657,534070.7511,4.175614301,5504.402433,5292.306543,5292.306543,505.71628692
68,32.57123184,35.50885391,1062.786377,54.60794449,73.60507965,37.74542618,534.9849854,0.25424212,42292.92161,30979.4913,2.83E-05,0.000116585,1.17E+02,0.005647574,5647.574416,68,32.57123184,35.50885391,1062.786377,54.60794449,73.60507965,37.74542618,534.9849854,0.242867861,42613.49083,30959.19833,4.73E-05,0.000116585,1.17E+02,0.005647574,5647.574416,534070.7511,4.473790046,5684.44566,5448.890633,5448.890633,472.80981159
